landscape_id,landscape_name,pattern,level,layer,class,id,metric_name,metric,value,warnings
1,random_1,random,landscape,1,NA,NA,ai,ai,70.91870818442698,NA
2,sharp_2_rot108,sharp,landscape,1,NA,NA,ai,ai,99.67781160720372,NA
3,random_3,random,landscape,1,NA,NA,ai,ai,71.75723921359662,NA
4,sharp_4_rot87,sharp,landscape,1,NA,NA,ai,ai,99.85754658990325,NA
5,sharp_5_rot329,sharp,landscape,1,NA,NA,ai,ai,99.6539842452444,NA
6,random_6,random,landscape,1,NA,NA,ai,ai,51.67722697047451,NA
7,sharp_7_rot144,sharp,landscape,1,NA,NA,ai,ai,99.55329469063142,NA
8,sharp_8_rot184,sharp,landscape,1,NA,NA,ai,ai,99.8781853666973,NA
9,sharp_9_rot64,sharp,landscape,1,NA,NA,ai,ai,99.66511613017806,NA
10,random_10,random,landscape,1,NA,NA,ai,ai,52.09081348019187,NA
11,random_11,random,landscape,1,NA,NA,ai,ai,71.4315054044647,NA
12,sharp_12_rot167,sharp,landscape,1,NA,NA,ai,ai,99.74526795821579,NA
13,random_13,random,landscape,1,NA,NA,ai,ai,66.67381855324297,NA
14,random_14,random,landscape,1,NA,NA,ai,ai,50.593427056198166,NA
15,random_15,random,landscape,1,NA,NA,ai,ai,62.202969545317835,NA
16,random_16,random,landscape,1,NA,NA,ai,ai,52.2465618966331,NA
17,random_17,random,landscape,1,NA,NA,ai,ai,50.344555127752955,NA
18,random_18,random,landscape,1,NA,NA,ai,ai,74.37717982029554,NA
19,sharp_19_rot112,sharp,landscape,1,NA,NA,ai,ai,99.71595930667297,NA
20,random_20,random,landscape,1,NA,NA,ai,ai,71.28763504317872,NA
21,random_21,random,landscape,1,NA,NA,ai,ai,75.46441295507327,NA
22,random_22,random,landscape,1,NA,NA,ai,ai,68.5028703247836,NA
23,sharp_23_rot279,sharp,landscape,1,NA,NA,ai,ai,99.78065347554782,NA
24,random_24,random,landscape,1,NA,NA,ai,ai,52.501598085911155,NA
25,random_25,random,landscape,1,NA,NA,ai,ai,71.81907512375305,NA
26,random_26,random,landscape,1,NA,NA,ai,ai,77.90282519524173,NA
27,sharp_27_rot305,sharp,landscape,1,NA,NA,ai,ai,99.75479064131386,NA
28,random_28,random,landscape,1,NA,NA,ai,ai,50.130813632472226,NA
29,sharp_29_rot195,sharp,landscape,1,NA,NA,ai,ai,99.67703197043208,NA
30,sharp_30_rot81,sharp,landscape,1,NA,NA,ai,ai,99.83767643622414,NA
31,sharp_31_rot308,sharp,landscape,1,NA,NA,ai,ai,99.81015403744951,NA
32,random_32,random,landscape,1,NA,NA,ai,ai,50.09520201555702,NA
33,sharp_33_rot300,sharp,landscape,1,NA,NA,ai,ai,99.62878714753094,NA
34,sharp_34_rot273,sharp,landscape,1,NA,NA,ai,ai,99.87813752047163,NA
35,random_35,random,landscape,1,NA,NA,ai,ai,79.71511205338484,NA
36,random_36,random,landscape,1,NA,NA,ai,ai,62.14239416887152,NA
37,random_37,random,landscape,1,NA,NA,ai,ai,55.91634249002766,NA
38,sharp_38_rot249,sharp,landscape,1,NA,NA,ai,ai,99.71058747130829,NA
39,sharp_39_rot66,sharp,landscape,1,NA,NA,ai,ai,99.67370848288107,NA
40,sharp_40_rot331,sharp,landscape,1,NA,NA,ai,ai,99.63475215905538,NA
41,sharp_41_rot185,sharp,landscape,1,NA,NA,ai,ai,99.80600220228494,NA
42,random_42,random,landscape,1,NA,NA,ai,ai,53.780931666451806,NA
43,random_43,random,landscape,1,NA,NA,ai,ai,51.97553614825617,NA
44,random_44,random,landscape,1,NA,NA,ai,ai,52.11199426707694,NA
45,sharp_45_rot260,sharp,landscape,1,NA,NA,ai,ai,99.73933712592049,NA
46,random_46,random,landscape,1,NA,NA,ai,ai,82.60343667503902,NA
47,sharp_47_rot311,sharp,landscape,1,NA,NA,ai,ai,99.84554945441425,NA
48,random_48,random,landscape,1,NA,NA,ai,ai,52.71664395840591,NA
49,sharp_49_rot290,sharp,landscape,1,NA,NA,ai,ai,99.76367356045552,NA
50,sharp_50_rot26,sharp,landscape,1,NA,NA,ai,ai,99.64430537465103,NA
51,sharp_51_rot174,sharp,landscape,1,NA,NA,ai,ai,99.8630466402729,NA
52,sharp_52_rot258,sharp,landscape,1,NA,NA,ai,ai,99.80721445970212,NA
53,sharp_53_rot89,sharp,landscape,1,NA,NA,ai,ai,99.90363550948003,NA
54,sharp_54_rot216,sharp,landscape,1,NA,NA,ai,ai,99.85030488344688,NA
55,random_55,random,landscape,1,NA,NA,ai,ai,67.35472658668668,NA
56,sharp_56_rot328,sharp,landscape,1,NA,NA,ai,ai,99.59356454345414,NA
57,sharp_57_rot74,sharp,landscape,1,NA,NA,ai,ai,99.73032887325598,NA
58,random_58,random,landscape,1,NA,NA,ai,ai,67.38561764063043,NA
59,sharp_59_rot291,sharp,landscape,1,NA,NA,ai,ai,99.72093836096414,NA
60,random_60,random,landscape,1,NA,NA,ai,ai,57.965794843590764,NA
61,random_61,random,landscape,1,NA,NA,ai,ai,78.83112607715088,NA
62,sharp_62_rot178,sharp,landscape,1,NA,NA,ai,ai,99.89855567089529,NA
63,random_63,random,landscape,1,NA,NA,ai,ai,52.00337309409581,NA
64,sharp_64_rot282,sharp,landscape,1,NA,NA,ai,ai,99.70819537398668,NA
65,random_65,random,landscape,1,NA,NA,ai,ai,69.11860329241779,NA
66,sharp_66_rot51,sharp,landscape,1,NA,NA,ai,ai,99.84035580627408,NA
67,random_67,random,landscape,1,NA,NA,ai,ai,51.82791200341926,NA
68,sharp_68_rot332,sharp,landscape,1,NA,NA,ai,ai,99.62920837997761,NA
69,random_69,random,landscape,1,NA,NA,ai,ai,66.10867484415152,NA
70,random_70,random,landscape,1,NA,NA,ai,ai,50.86547151049783,NA
71,random_71,random,landscape,1,NA,NA,ai,ai,50.57375666438583,NA
72,random_72,random,landscape,1,NA,NA,ai,ai,50.15591655122002,NA
73,sharp_73_rot288,sharp,landscape,1,NA,NA,ai,ai,99.735994027294,NA
74,sharp_74_rot285,sharp,landscape,1,NA,NA,ai,ai,99.73540634810203,NA
75,sharp_75_rot69,sharp,landscape,1,NA,NA,ai,ai,99.67958769785508,NA
76,random_76,random,landscape,1,NA,NA,ai,ai,52.45554851013425,NA
77,random_77,random,landscape,1,NA,NA,ai,ai,51.9186047247296,NA
78,random_78,random,landscape,1,NA,NA,ai,ai,64.83068834068855,NA
79,random_79,random,landscape,1,NA,NA,ai,ai,53.81746253244481,NA
80,sharp_80_rot260,sharp,landscape,1,NA,NA,ai,ai,99.71821676932053,NA
81,sharp_81_rot193,sharp,landscape,1,NA,NA,ai,ai,99.71928411321828,NA
82,random_82,random,landscape,1,NA,NA,ai,ai,50.757561931468906,NA
83,random_83,random,landscape,1,NA,NA,ai,ai,78.42805438262975,NA
84,sharp_84_rot19,sharp,landscape,1,NA,NA,ai,ai,99.83369431941176,NA
85,random_85,random,landscape,1,NA,NA,ai,ai,49.41632821755714,NA
86,sharp_86_rot322,sharp,landscape,1,NA,NA,ai,ai,99.52322339233183,NA
87,random_87,random,landscape,1,NA,NA,ai,ai,55.79566547908664,NA
88,sharp_88_rot76,sharp,landscape,1,NA,NA,ai,ai,99.7663035447478,NA
89,sharp_89_rot22,sharp,landscape,1,NA,NA,ai,ai,99.7108631287849,NA
90,sharp_90_rot226,sharp,landscape,1,NA,NA,ai,ai,99.84559921011973,NA
91,sharp_91_rot271,sharp,landscape,1,NA,NA,ai,ai,99.82083060294282,NA
92,random_92,random,landscape,1,NA,NA,ai,ai,53.567074008349636,NA
93,sharp_93_rot226,sharp,landscape,1,NA,NA,ai,ai,99.58367527036589,NA
94,random_94,random,landscape,1,NA,NA,ai,ai,52.4407768404686,NA
95,sharp_95_rot353,sharp,landscape,1,NA,NA,ai,ai,99.84255843059768,NA
96,sharp_96_rot338,sharp,landscape,1,NA,NA,ai,ai,99.6901858085106,NA
97,sharp_97_rot301,sharp,landscape,1,NA,NA,ai,ai,99.7647603548034,NA
98,random_98,random,landscape,1,NA,NA,ai,ai,49.90358266039486,NA
