landscape_id,landscape_name,pattern,level,layer,class,id,metric_name,metric,value,warnings
1,random_1,random,landscape,1,NA,NA,ai,ai,64.4857329780563,NA
2,random_2,random,landscape,1,NA,NA,ai,ai,63.12299832836372,NA
3,clustered_3_rot150,clustered,landscape,1,NA,NA,ai,ai,98.12334740881178,NA
4,random_4,random,landscape,1,NA,NA,ai,ai,50.557922559245334,NA
5,clustered_5_rot91,clustered,landscape,1,NA,NA,ai,ai,94.24770455064136,NA
6,labyrinth_6,labyrinth,landscape,1,NA,NA,ai,ai,94.96287826874718,NA
7,clustered_7_rot125,clustered,landscape,1,NA,NA,ai,ai,96.9866065525194,NA
8,labyrinth_8,labyrinth,landscape,1,NA,NA,ai,ai,94.13079674306186,NA
9,clustered_9_rot272,clustered,landscape,1,NA,NA,ai,ai,95.04963599195571,NA
10,random_10,random,landscape,1,NA,NA,ai,ai,50.27696505494869,NA
11,labyrinth_11,labyrinth,landscape,1,NA,NA,ai,ai,95.80014968182951,NA
12,clustered_12_rot17,clustered,landscape,1,NA,NA,ai,ai,93.75598013360475,NA
13,clustered_13_rot286,clustered,landscape,1,NA,NA,ai,ai,97.41326763024306,NA
14,random_14,random,landscape,1,NA,NA,ai,ai,53.68810151405198,NA
15,random_15,random,landscape,1,NA,NA,ai,ai,54.39123794002253,NA
16,labyrinth_16,labyrinth,landscape,1,NA,NA,ai,ai,91.82745623021742,NA
17,random_17,random,landscape,1,NA,NA,ai,ai,56.842780308643256,NA
18,labyrinth_18,labyrinth,landscape,1,NA,NA,ai,ai,96.0266499898105,NA
19,clustered_19_rot254,clustered,landscape,1,NA,NA,ai,ai,98.77257043904775,NA
20,random_20,random,landscape,1,NA,NA,ai,ai,77.72412908700827,NA
21,clustered_21_rot190,clustered,landscape,1,NA,NA,ai,ai,96.21595621271234,NA
22,clustered_22_rot218,clustered,landscape,1,NA,NA,ai,ai,97.38696047292788,NA
23,clustered_23_rot3,clustered,landscape,1,NA,NA,ai,ai,91.76048764776425,NA
24,clustered_24_rot31,clustered,landscape,1,NA,NA,ai,ai,97.51886189600044,NA
25,random_25,random,landscape,1,NA,NA,ai,ai,62.138429590852176,NA
26,random_26,random,landscape,1,NA,NA,ai,ai,64.88985122880128,NA
27,labyrinth_27,labyrinth,landscape,1,NA,NA,ai,ai,93.19810834131552,NA
28,clustered_28_rot276,clustered,landscape,1,NA,NA,ai,ai,96.99929985350042,NA
29,clustered_29_rot188,clustered,landscape,1,NA,NA,ai,ai,96.525303895375,NA
